compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_37deg_1,exp2_37deg_2,exp2_37deg_3,exp2_37deg_4,exp4_22deg_1,exp4_22deg_2,exp4_22deg_3,exp4_22deg_4,exp4_37deg_1,exp4_37deg_2,exp4_37deg_3,exp4_37deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l,exp2_37deg_1_l,exp2_37deg_2_l,exp2_37deg_3_l,exp2_37deg_4_l,exp4_22deg_1_l,exp4_22deg_2_l,exp4_22deg_3_l,exp4_22deg_4_l,exp4_37deg_1_l,exp4_37deg_2_l,exp4_37deg_3_l,exp4_37deg_4_l
Cer_d18:1_24:1,1.3927731885039278,1.321165985691212,1.2890452196919342,0.8332390578979338,0.51440192282686,0.5730173849336058,0.5724123285031181,0.4975557503386161,3.8897556113304077,3.5630488165733656,3.736043276940552,2.9935343302130404,2.646506379406808,2.3759688657590483,1.8161442429240047,2.8614922047489384,0.0,0.0,0.0,0.0,0.0,0.005356088173740907,0.007063384622843111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cer_t18:1_24:1 ,0.7641025253441187,0.6879405944320617,0.6856421220061941,0.6954353937730829,0.43096020812955244,0.47230494881407614,0.3865149338817491,0.4401802329719612,5.982286324224821,6.348226211352959,5.899405986015287,5.742478358392458,3.3709389968237673,3.8513630784373394,3.1339366605411434,4.9411770975998754,0.12012494401098214,0.09804483543997541,0.08518742119890185,0.14145442584259288,0.26114782574777634,0.2894202363230681,0.2005626003148121,0.2855287793982995,0.49663072937840314,0.20211531185785062,0.026837609998673077,0.44198185234770676,3.030256909986621,4.021418876199343,3.3164718240964426,3.227988002853323
Cer_t18:0_24:1 ,0.665827867039237,0.5444308379898899,0.5491934115372493,0.5296465248423305,0.5282386157692286,0.5109736411497054,0.5192505897082061,0.469757362036495,3.0179688310896,3.242430164660977,3.3211776224812426,2.6970003794298956,2.048393135739402,2.2627630279853888,2.4875138517527007,3.2820220586627005,0.2731527162541033,0.228862651229833,0.15354127933349596,0.1894171377047568,0.302636196459381,0.32941246278419106,0.40829821977725944,0.333502377473526,0.46744813318926215,0.5765827083612579,0.0,0.24812353333877094,2.5824167502646524,2.245006915557206,1.2798432216642388,2.3979949726264183
Cer_t18:1_24:0 ,3.2405440840070048,3.084423491695157,2.996658974091652,2.7201504849217013,1.5695444730550174,1.5447952877687647,1.545686362748414,1.2818488173637992,26.010341763917236,26.372252003921766,27.67868745653549,26.624766622942428,15.811106945864932,20.24640900324958,18.35764959446436,25.21124483186983,0.35452422734599365,0.34373935320813614,0.279907993642158,0.3098760775430476,0.576947876237314,0.6739632612473684,0.5535690330580263,0.6011914767154635,0.01350765874228052,0.0,0.0,0.0,8.755534491035661,15.75772555420658,13.623041203938964,10.787603594198535
Cer_t18:0_24:0 ,3.1190853853599245,2.5497211087181424,2.1758171590263378,2.001077872025196,1.5131512508297862,1.519509888916412,1.5718371977015386,1.3595212868141504,15.54818414330543,15.494888161859576,16.40721091737839,14.306693972593507,13.719580749269866,13.101723719787747,11.714859870442655,16.325975203821397,0.908536168079985,0.7023278410678983,0.5522348291177376,0.558491791385849,0.7034992664284999,0.6707027827030319,0.9526361425291927,0.7656826956712619,2.5219309117973925,2.367336538452571,2.0776520536858225,2.188338831586168,11.675352947093455,12.9032248280625,11.15987299878352,12.01464385247112
Cer_t18:1_26:1 ,0.7208797563282521,0.7197797645933826,0.7199887135691927,0.6865133804970619,0.45237483237482023,0.394932341890092,0.37176089597976425,0.3631135041450201,4.738242641556632,5.055629217148608,5.734776224347396,5.536528530391918,2.8308450275571655,3.592719296328278,3.337207601357815,5.003527890840179,0.02805403381474896,0.021655682577053834,0.04226352535740317,0.053135265755138376,0.12144091532683142,0.10305090495748216,0.07445015635197705,0.10427793245356946,0.3216296474040952,0.31246243172532856,0.0,0.17352780193538483,1.3501873591053573,1.7144573757802086,1.5724938806740627,1.6975612519692438
Cer_t18:0_26:1 ,0.2891315512500621,0.26773531148012664,0.25001448242311886,0.2489187380950307,0.18230169254996811,0.21155522541177785,0.2136905911024317,0.17476784409039103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025726329681264884,0.04519190184790773,0.029231602408745287,0.0332642312137415,0.07695578667781412,0.05974870766896273,0.07825599237785232,0.09356494633713999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cer_t18:1_26:0 ,3.3226534641046417,2.9983272136388686,3.076273853222532,2.773070401590282,1.8823724103378139,1.7216625174074847,1.6683856879746315,1.4459430152851476,26.830802027756608,29.273400008943923,32.566021033924386,30.635809945141073,20.579917277373134,28.617820129154204,28.114427234996462,35.867573936947664,0.10382760407739469,0.1353257371424139,0.10951385131696083,0.15716844795436455,0.5409402191864248,0.5012626253965817,0.3498336557143218,0.4732790397487842,0.012615187834914995,0.0,0.0,0.0,12.795084718659405,18.748344239622675,23.17769590148803,18.607186887404495
Cer_t18:0_28:1,0.05259178414214638,0.04632555606887117,0.038580927244444584,0.041324931803582134,0.052717655016149986,0.05762777758460036,0.06813430694760478,0.051585550052733256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005611492255887048,0.0024770873180466777,0.0,0.0,0.005929407720056594,0.004687965451585856,0.002863459182571155,0.0047159525111101115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cer_t18:1_28:0 ,0.6207098559561802,0.493929670888825,0.5170892017430799,0.43056294451781035,0.4337382644482248,0.4615516258074116,0.38670103505338,0.33732304792841705,5.3747450431232355,5.097259837142479,6.161838270816469,5.413848827329845,4.595855626856554,5.352698735335463,5.604273699226257,6.127125811639783,0.009846874698558394,0.0035678594880583377,0.02219070036477556,0.0,0.18555003505018708,0.15498755481934695,0.1081574584480361,0.13087668418661724,0.0,0.0,0.0,0.0,3.3385939907198106,4.156093362270869,6.048078374927675,4.640638861291878
